snapped_at,price,market_cap,total_volume
2021-04-30 00:00:00 UTC,23.327418267811513,0.0,16576656.85415079
2021-05-01 00:00:00 UTC,23.327418267811513,0.0,16576656.85415079
2021-05-02 00:00:00 UTC,18.915452769785436,0.0,31537632.939870752
2021-05-03 00:00:00 UTC,21.309982603593916,0.0,1009195.8446439038
2021-05-04 00:00:00 UTC,17.993651917843852,0.0,699889.2299604575
2021-05-05 00:00:00 UTC,17.163757989667264,0.0,589831.3806043881
2021-05-06 00:00:00 UTC,20.37417305592226,0.0,643686.6350806553
2021-05-07 00:00:00 UTC,20.35803408278151,0.0,317173.6974546396
2021-05-08 00:00:00 UTC,22.69182537057885,0.0,759911.1074163956
2021-05-09 00:00:00 UTC,21.803820175936117,14068430.8850876,285023.3306484662
2021-05-10 00:00:00 UTC,21.640955761276945,14010778.930506691,302650.7516843505
2021-05-11 00:00:00 UTC,19.40174673710863,12537008.249546224,183536.9577958956
2021-05-12 00:00:00 UTC,22.528725139536558,14552015.11636743,482588.6901119545
2021-05-13 00:00:00 UTC,21.02484700647569,14403363.730772784,371049.4789011943
2021-05-14 00:00:00 UTC,24.10487648003357,15881696.57811799,927854.6685294351
2021-05-15 00:00:00 UTC,22.241850764342143,15261927.64685122,841290.4583684297
2021-05-16 00:00:00 UTC,19.998882121847544,14273864.904853845,232231.82092647546
2021-05-17 00:00:00 UTC,20.786192610877094,14206773.236714827,409694.22634507815
2021-05-18 00:00:00 UTC,18.432931335873636,12638751.448014146,367175.15872736933
2021-05-19 00:00:00 UTC,20.8596540859903,16100806.234466061,375368.71484334
2021-05-20 00:00:00 UTC,16.604396734652695,18618011.205023,305717.8964710538
2021-05-21 00:00:00 UTC,16.381050176148257,18367690.02048102,683501.0529046757
2021-05-22 00:00:00 UTC,15.431623646841393,17162794.778437518,508730.46921473625
2021-05-23 00:00:00 UTC,13.639668394906627,15233418.974745734,326436.0455776362
2021-05-24 00:00:00 UTC,11.04017821245557,12277024.889119552,660333.5804464903
2021-05-25 00:00:00 UTC,11.693316622453288,13027737.66317592,546017.7392075378
2021-05-26 00:00:00 UTC,12.907376228465163,14437445.634376533,404145.72451302264
2021-05-27 00:00:00 UTC,13.36197915708653,14934207.141998274,401884.5525737451
2021-05-28 00:00:00 UTC,13.100661715052972,14760910.925697787,236330.05057918688
2021-05-29 00:00:00 UTC,12.171686474644265,13695179.360758618,192686.85268637247
2021-05-30 00:00:00 UTC,11.459388621789437,12894894.11600129,193021.04160964955
2021-05-31 00:00:00 UTC,11.908383225202643,13290418.290063445,59237.908879084134
